user	kaixxa	QojGiHHHBVmxTQy3g6zjsw==	false	true
user	robert	ifw3E2CztQeo6+KLvc1ZYg==	false	false
user	abc	AUhue1MBIz/x7tI7KkOP6Q==	true	false
user	admin	X03MO1qnZdYdgyfeuILPmQ==	true	true
user	jane	S1M7yVmMclkb29/k3VqRGQ==	false	false
film	Avengers: Endgame	avengers_endgame.mp4	182
film	Doctor Strange in the Multiverse of Madness	doctor_strange_in_the_multiverse_of_madness.mp4	126
film	Fantastic Beasts: The Secrets of Dumbledore	fantastic_beasts_the_secrets_of_dumbledore.mp4	143
film	The Imitation Game	the_imitation_game.mp4	114
film	The Batman	the_batman.mp4	176
film	Sonic the Hedgehog 2	sonic_the_hedgehog_2.mp4	122
hall	Fantastic Beasts: The Secrets of Dumbledore	S3	65	7	6
hall	The Imitation Game	CS Hall	45	6	8
hall	The Batman	S5	80	6	8
hall	Sonic the Hedgehog 2	Child Hall	45	6	7
hall	The Imitation Game	Alan Turing Hall	30	10	10
hall	Avengers: Endgame	S1	70	10	8
hall	Doctor Strange in the Multiverse of Madness	S2	60	8	9
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	0	0	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	0	1	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	0	2	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	0	3	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	0	4	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	0	5	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	1	0	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	1	1	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	1	2	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	1	3	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	1	4	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	1	5	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	2	0	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	2	1	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	2	2	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	2	3	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	2	4	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	2	5	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	3	0	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	3	1	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	3	2	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	3	3	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	3	4	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	3	5	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	4	0	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	4	1	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	4	2	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	4	3	null	0
seat	Fantastic Beasts: The Secrets of Dumbledore	S3	4	4	null	0
